iter	Passed	Remaining
667	37933	7495
668	37984	7437
669	38037	7380
670	38097	7324
671	38151	7267
672	38197	7208
673	38249	7150
674	38297	7092
675	38357	7036
676	38408	6978
677	38467	6921
678	38522	6864
679	38572	6806
680	38631	6750
681	38688	6693
682	38742	6636
683	38799	6580
684	38852	6522
685	38902	6464
686	38952	6407
687	39009	6350
688	39064	6293
689	39118	6236
690	39171	6178
691	39224	6121
692	39274	6063
693	39340	6008
694	39396	5952
695	39453	5895
696	39508	5838
697	39561	5781
698	39614	5724
699	39666	5666
700	39720	5609
701	39780	5553
702	39832	5496
703	39881	5438
704	39938	5381
705	39995	5325
706	40050	5268
707	40107	5211
708	40151	5153
709	40205	5096
710	40263	5039
711	40316	4982
712	40371	4926
713	40423	4868
714	40470	4811
715	40535	4755
716	40606	4700
717	40670	4644
718	40733	4588
719	40788	4532
720	40847	4475
721	40908	4419
722	40961	4362
723	41011	4305
724	41066	4248
725	41119	4191
726	41174	4134
727	41228	4077
728	41282	4020
729	41337	3963
730	41387	3906
731	41437	3849
732	41482	3791
733	41530	3734
734	41586	3677
735	41633	3620
736	41689	3563
737	41734	3506
738	41781	3448
739	41832	3391
740	41875	3334
741	41927	3277
742	41991	3221
743	42044	3164
744	42097	3107
745	42153	3051
746	42210	2994
747	42262	2938
748	42315	2881
749	42366	2824
750	42420	2767
751	42473	2711
752	42527	2654
753	42588	2598
754	42643	2541
755	42702	2485
756	42749	2428
757	42802	2371
758	42855	2314
759	42907	2258
760	42964	2201
761	43023	2145
762	43073	2088
763	43121	2031
764	43179	1975
765	43231	1918
766	43274	1861
767	43321	1805
768	43374	1748
769	43422	1691
770	43469	1635
771	43522	1578
772	43576	1522
773	43627	1465
774	43670	1408
775	43723	1352
776	43781	1295
777	43837	1239
778	43881	1182
779	43936	1126
780	43975	1069
781	44020	1013
782	44069	956
783	44126	900
784	44169	844
785	44223	787
786	44275	731
787	44335	675
788	44397	618
789	44449	562
790	44503	506
791	44566	450
792	44613	393
793	44673	337
794	44723	281
795	44784	225
796	44841	168
797	44885	112
798	44939	56
799	44987	0
